"filename", "language", "XML", "C#", "JSON", "Solution File", "YAML", "EditorConfig", "Properties", "SQL", "comment", "blank", "total"
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Abstraction/ICopyrightRepository.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 1, 2, 17
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Abstraction/IGenresRepository.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 1, 4, 15
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Abstraction/IMusicalScoresRepository.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 1, 4, 16
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Abstraction/IPdfFilesRepository.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 1, 5, 17
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Abstraction/IRepository.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 4, 8, 40
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Abstraction/IScoreGenreRelationshipRepository.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 1, 7, 18
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Database/.env", "Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Database/scripts/bootstrap.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 66, 2, 19, 87
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Model/Copyright.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Model/Genre.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Model/MusicalScore.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/manuel/Documenti/UNI/23_24/git/progettoMicroservizi/MusicalScoresHandler/MusicalScoresHandler.Repository/Model/PdfFile.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
